# name	url	origin
OpenHands	https://docs.openhands.dev/llms.txt	probe-2026-09-18
OpenObserve	https://openobserve.ai/docs/llms.txt	probe-2026-09-18
OpenObserve	https://openobserve.ai/llms.txt	probe-2026-09-18
OpenSearch	https://opensearch.org/llms.txt/	probe-2026-09-18
Open-WebUI	https://docs.openwebui.com/llms.txt	probe-2026-09-18
ParadeDB	https://www.paradedb.com/docs/llms.txt	probe-2026-09-18
Perplexity	https://docs.perplexity.ai/llms.txt	probe-2026-09-18
Pinecone	https://docs.pinecone.io/llms.txt	probe-2026-09-18
PostHog	https://posthog.com/llms.txt	probe-2026-09-18
Prisma	https://www.prisma.io/docs/llms.txt	probe-2026-09-18
Prisma	https://www.prisma.io/llms.txt	probe-2026-09-18
PydanticAI	https://pydantic.dev/docs/llms.txt	probe-2026-09-18
PydanticAI	https://pydantic.dev/docs/ai/llms.txt	probe-2026-09-18
Qdrant	https://qdrant.tech/llms.txt	probe-2026-09-18
Raycast	https://developers.raycast.com/llms.txt	probe-2026-09-18
Redis	https://redis.io/llms.txt	probe-2026-09-18
Replicate	https://replicate.com/docs/llms.txt	probe-2026-09-18
Replicate	https://replicate.com/llms.txt	probe-2026-09-18
Resend	https://resend.com/docs/llms.txt	probe-2026-09-18
Resend	https://resend.com/llms.txt	probe-2026-09-18
Sentry	https://docs.sentry.io/llms.txt	probe-2026-09-18
Smithery	https://smithery.ai/docs/llms.txt	probe-2026-09-18
Stagehand	https://docs.stagehand.dev/llms.txt	probe-2026-09-18
Stripe	https://docs.stripe.com/llms.txt	probe-2026-09-18
Supabase	https://supabase.com/llms.txt	probe-2026-09-18
SurrealDB	https://surrealdb.com/docs/llms.txt	probe-2026-09-18
SurrealDB	https://surrealdb.com/llms.txt	probe-2026-09-18
Svelte	https://svelte.dev/llms.txt	probe-2026-09-18
Tauri	https://tauri.app/llms.txt	probe-2026-09-18
Tavily	https://docs.tavily.com/llms.txt	probe-2026-09-18
Temporal	https://docs.temporal.io/llms.txt	probe-2026-09-18
Together	https://docs.together.ai/llms.txt	probe-2026-09-18
Trigger.dev	https://trigger.dev/docs/llms.txt	probe-2026-09-18
Trigger.dev	https://trigger.dev/llms.txt	probe-2026-09-18
Turso	https://turso.tech/llms.txt	probe-2026-09-18
Turso	https://docs.turso.tech/llms.txt	probe-2026-09-18
Typesense	https://typesense.org/docs/llms.txt	probe-2026-09-18
Typesense	https://typesense.org/llms.txt	probe-2026-09-18
Upstash	https://upstash.com/docs/llms.txt	probe-2026-09-18
Upstash	https://upstash.com/llms.txt	probe-2026-09-18
Vercel-AI-SDK	https://ai-sdk.dev/llms.txt	probe-2026-09-18
Vercel	https://vercel.com/llms.txt	probe-2026-09-18
Vespa	https://docs.vespa.ai/llms.txt	probe-2026-09-18
Vespa	https://vespa.ai/llms.txt	probe-2026-09-18
Warp	https://docs.warp.dev/llms.txt	probe-2026-09-18
Weaviate	https://weaviate.io/llms.txt	probe-2026-09-18
Windsurf	https://docs.windsurf.com/llms.txt	probe-2026-09-18
Zed	https://zed.dev/docs/llms.txt	probe-2026-09-18
Zed	https://zed.dev/llms.txt	probe-2026-09-18
Zep	https://help.getzep.com/docs/llms.txt	probe-2026-09-18
Zep	https://help.getzep.com/llms.txt	probe-2026-09-18
turbopuffer	https://turbopuffer.com/llms.txt	dissected-2026-09-18
Algolia	https://www.algolia.com/llms.txt	dissected-2026-09-18
LlamaIndex	https://developers.llamaindex.ai/llms.txt	dissected-2026-09-18
Bun	https://bun.com/llms.txt	dissected-2026-09-18
FastMCP	https://gofastmcp.com/llms.txt	dissected-2026-09-18
Expo	https://docs.expo.dev/llms.txt	added-2026-09-19
XERJ	https://xerj.org/llms.txt	subject
